id,city_id/id,district_id/id,name,code
barrio_1321,l10n_co_base.city_11001,localidad_18,SAN MARTIN SUR,1321
barrio_1322,l10n_co_base.city_11001,localidad_4,SAN RAFAEL USME,1322
barrio_1322,l10n_co_base.city_11001,localidad_5,SAN RAFAEL USME,1322
barrio_1323,l10n_co_base.city_11001,localidad_4,NUEVA DELHI,1323
barrio_1324,l10n_co_base.city_11001,localidad_4,EL PINAR,1324
barrio_1325,l10n_co_base.city_11001,localidad_4,JUAN REY (LA PAZ),1325
barrio_1325,l10n_co_base.city_11001,localidad_5,JUAN REY (LA PAZ),1325
barrio_1327,l10n_co_base.city_11001,localidad_4,LOS LIBERTADORES,1327
barrio_1328,l10n_co_base.city_11001,localidad_4,SANTA RITA SUR ORIENTAL,1328
barrio_1329,l10n_co_base.city_11001,localidad_4,EL PARAISO,1329
barrio_1330,l10n_co_base.city_11001,localidad_4,CANADA O GUIRA,1330
barrio_1330,l10n_co_base.city_11001,localidad_5,CANADA O GUIRA,1330
barrio_1330,l10n_co_base.city_11001,localidad_18,CANADA O GUIRA,1330
barrio_1331,l10n_co_base.city_11001,localidad_4,ALTOS DEL ZUQUE,1331
barrio_1332,l10n_co_base.city_11001,localidad_4,VILLABEL,1332
barrio_1332,l10n_co_base.city_11001,localidad_5,VILLABEL,1332
barrio_1333,l10n_co_base.city_11001,localidad_4,ALTOS DEL POBLADO,1333
barrio_1334,l10n_co_base.city_11001,localidad_4,LAS GAVIOTAS,1334
barrio_1334,l10n_co_base.city_11001,localidad_5,LAS GAVIOTAS,1334
barrio_1335,l10n_co_base.city_11001,localidad_5,VILLA DIANA,1335
barrio_1336,l10n_co_base.city_11001,localidad_5,JUAN JOSE RONDON I,1336
barrio_1337,l10n_co_base.city_11001,localidad_5,SAN PEDRO SUR,1337
barrio_1338,l10n_co_base.city_11001,localidad_4,LA BELLEZA,1338
barrio_1338,l10n_co_base.city_11001,localidad_5,LA BELLEZA,1338
barrio_1339,l10n_co_base.city_11001,localidad_4,BOSQUE DE LOS ALPES,1339
barrio_1340,l10n_co_base.city_11001,localidad_5,TIHUAQUE,1340
barrio_1342,l10n_co_base.city_11001,localidad_4,ALTOS DEL ZIPA,1342
barrio_1344,l10n_co_base.city_11001,localidad_5,LOS SOCHES,1344
barrio_1345,l10n_co_base.city_11001,localidad_5,DONA LILIANA,1345
barrio_1346,l10n_co_base.city_11001,localidad_4,CIUDAD LONDRES I,1346
barrio_1346,l10n_co_base.city_11001,localidad_5,CIUDAD LONDRES I,1346
barrio_1347,l10n_co_base.city_11001,localidad_4,JUAN REY SUR,1347
barrio_1347,l10n_co_base.city_11001,localidad_5,JUAN REY SUR,1347
barrio_1348,l10n_co_base.city_11001,localidad_5,LA CABANA,1348
barrio_1349,l10n_co_base.city_11001,localidad_5,CIUDAD LONDRES,1349
barrio_1350,l10n_co_base.city_11001,localidad_4,YOMASA,1350
barrio_1350,l10n_co_base.city_11001,localidad_5,YOMASA,1350
barrio_1352,l10n_co_base.city_11001,localidad_4,GUACAMAYAS II,1352
barrio_1353,l10n_co_base.city_11001,localidad_4,GUACAMAYAS IV,1353
barrio_1354,l10n_co_base.city_11001,localidad_4,GUACAMAYAS III,1354
barrio_1354,l10n_co_base.city_11001,localidad_18,GUACAMAYAS III,1354
barrio_1355,l10n_co_base.city_11001,localidad_4,LAS GUACAMAYAS I,1355
barrio_1356,l10n_co_base.city_11001,localidad_4,VILLA DEL CERRO,1356
barrio_1401,l10n_co_base.city_11001,localidad_15,SAN JOSE SUR,1401
barrio_1401,l10n_co_base.city_11001,localidad_18,SAN JOSE SUR,1401
barrio_1402,l10n_co_base.city_11001,localidad_18,GUSTAVO RESTREPO,1402
barrio_1403,l10n_co_base.city_11001,localidad_18,HOSPITAL SAN CARLOS,1403
barrio_1404,l10n_co_base.city_11001,localidad_15,SOSIEGO SUR,1404
barrio_1404,l10n_co_base.city_11001,localidad_18,SOSIEGO SUR,1404
barrio_1405,l10n_co_base.city_11001,localidad_4,VEINTE DE JULIO,1405
barrio_1405,l10n_co_base.city_11001,localidad_18,VEINTE DE JULIO,1405
barrio_1406,l10n_co_base.city_11001,localidad_4,SAN ISIDRO,1406
barrio_1406,l10n_co_base.city_11001,localidad_18,SAN ISIDRO,1406
barrio_1407,l10n_co_base.city_11001,localidad_4,SURAMERICA,1407
barrio_1408,l10n_co_base.city_11001,localidad_4,VILLA DE LOS ALPES,1408
barrio_1409,l10n_co_base.city_11001,localidad_4,LAS LOMAS,1409
barrio_1409,l10n_co_base.city_11001,localidad_18,LAS LOMAS,1409
barrio_1410,l10n_co_base.city_11001,localidad_6,MARCO FIDEL SUAREZ,1410
barrio_1410,l10n_co_base.city_11001,localidad_18,MARCO FIDEL SUAREZ,1410
barrio_1411,l10n_co_base.city_11001,localidad_18,SAN JORGE SUR,1411
barrio_1412,l10n_co_base.city_11001,localidad_18,GRANJAS SAN PABLO,1412
barrio_1413,l10n_co_base.city_11001,localidad_18,LA RESURRECCION,1413
barrio_1414,l10n_co_base.city_11001,localidad_6,MOLINOS DEL SUR,1414
barrio_1414,l10n_co_base.city_11001,localidad_18,MOLINOS DEL SUR,1414
barrio_1415,l10n_co_base.city_11001,localidad_6,MARCO FIDEL SUAREZ I,1415
barrio_1415,l10n_co_base.city_11001,localidad_18,MARCO FIDEL SUAREZ I,1415
barrio_1416,l10n_co_base.city_11001,localidad_18,SAN AGUSTIN,1416
barrio_1417,l10n_co_base.city_11001,localidad_18,LOS MOLINOS,1417
barrio_1418,l10n_co_base.city_11001,localidad_18,MARRUECOS,1418
barrio_1419,l10n_co_base.city_11001,localidad_18,CALLEJON SANTA BARBARA,1419
barrio_1420,l10n_co_base.city_11001,localidad_6,EL PLAYON,1420
barrio_1420,l10n_co_base.city_11001,localidad_18,EL PLAYON,1420
barrio_1421,l10n_co_base.city_11001,localidad_18,DIANA TURBAY,1421
barrio_1422,l10n_co_base.city_11001,localidad_4,DIANA TURBAY ARRAYANES,1422
barrio_1422,l10n_co_base.city_11001,localidad_5,DIANA TURBAY ARRAYANES,1422
barrio_1422,l10n_co_base.city_11001,localidad_18,DIANA TURBAY ARRAYANES,1422
barrio_1423,l10n_co_base.city_11001,localidad_6,ARBOLEDA SUR,1423
barrio_1423,l10n_co_base.city_11001,localidad_18,ARBOLEDA SUR,1423
barrio_1424,l10n_co_base.city_11001,localidad_4,BARCELONA SUR,1424
barrio_1424,l10n_co_base.city_11001,localidad_18,BARCELONA SUR,1424
barrio_1425,l10n_co_base.city_11001,localidad_18,GRANJAS DE SANTA SOFIA,1425
barrio_1426,l10n_co_base.city_11001,localidad_4,SAN LUIS,1426
barrio_1426,l10n_co_base.city_11001,localidad_18,SAN LUIS,1426
barrio_1427,l10n_co_base.city_11001,localidad_18,PUERTO RICO,1427
barrio_1428,l10n_co_base.city_11001,localidad_4,CERROS DE ORIENTE,1428
barrio_1428,l10n_co_base.city_11001,localidad_18,CERROS DE ORIENTE,1428
barrio_1429,l10n_co_base.city_11001,localidad_18,GUIPARMA,1429
barrio_1430,l10n_co_base.city_11001,localidad_4,VILLA DE LOS ALPES I,1430
barrio_1431,l10n_co_base.city_11001,localidad_18,LA RESURRECCION I,1431
barrio_1432,l10n_co_base.city_11001,localidad_18,DIANA TURBAY CULTIVOS,1432
barrio_1434,l10n_co_base.city_11001,localidad_18,CARMEN DEL SOL,1434
barrio_1435,l10n_co_base.city_11001,localidad_18,LOS ARRAYANES II,1435
barrio_2,l10n_co_base.city_11001,localidad_1,ALTO DE SERREZUELA,
barrio_201108,l10n_co_base.city_11001,localidad_2,EL REFUGIO II,201108
barrio_201302,l10n_co_base.city_11001,localidad_4,EL TRIANGULO,201302
barrio_201304,l10n_co_base.city_11001,localidad_4,AGUAS CLARAS,201304
barrio_201305,l10n_co_base.city_11001,localidad_4,LOS LAURELES I,201305
barrio_201306,l10n_co_base.city_11001,localidad_4,TIBAQUE I,201306
barrio_201309,l10n_co_base.city_11001,localidad_5,TIBAQUE II,201309
barrio_201404,l10n_co_base.city_11001,localidad_3,LA PE�A RURAL,201404
barrio_201502,l10n_co_base.city_11001,localidad_2,SIBERIA RURAL,201502
barrio_201503,l10n_co_base.city_11001,localidad_2,SIBERIA RURAL II,201503
barrio_201509,l10n_co_base.city_11001,localidad_2,PARDO RUBIO RURAL,201509
barrio_202203,l10n_co_base.city_11001,localidad_5,BOLONIA I,202203
barrio_202204,l10n_co_base.city_11001,localidad_5,LA ESPERANZA SUR I,202204
barrio_202404,l10n_co_base.city_11001,localidad_5,SAN FELIPE DE USME RURAL,202404
barrio_202410,l10n_co_base.city_11001,localidad_5,TOCAIMITA ORIENTAL,202410
barrio_202502,l10n_co_base.city_11001,localidad_5,EL UVAL,202502
barrio_202506,l10n_co_base.city_11001,localidad_5,EL NUEVO PORTAL II RURAL,202506
barrio_202511,l10n_co_base.city_11001,localidad_5,PUERTA AL LLANO RURAL,202511
barrio_202601,l10n_co_base.city_11001,localidad_5,CENTRO USME,202601
barrio_204104,l10n_co_base.city_11001,localidad_19,PASQUILLA URBANA,204104
barrio_204106,l10n_co_base.city_11001,localidad_19,NUEVA ESPERANZA,204106
barrio_204107,l10n_co_base.city_11001,localidad_19,EL MIRADOR II,204107
barrio_204128,l10n_co_base.city_11001,localidad_19,QUIBA RURAL,204128
barrio_204129,l10n_co_base.city_11001,localidad_19,EL MOCHUELO II NORTE,204129
barrio_204131,l10n_co_base.city_11001,localidad_19,MOCHUELO ALTO URBANO,204131
barrio_204304,l10n_co_base.city_11001,localidad_19,LAGUNITAS,204304
barrio_205101,l10n_co_base.city_11001,localidad_8,VEREDA EL TINTAL URBANO,205101
barrio_205102,l10n_co_base.city_11001,localidad_8,VEREDA EL TINTAL,205102
barrio_205102,l10n_co_base.city_11001,localidad_9,VEREDA EL TINTAL,205102
barrio_205209,l10n_co_base.city_11001,localidad_8,EL JAZMIN,205209
barrio_205221,l10n_co_base.city_11001,localidad_8,GALAN RURAL,205221
barrio_205225,l10n_co_base.city_11001,localidad_8,LAS ACACIAS RURAL,205225
barrio_205308,l10n_co_base.city_11001,localidad_7,CANAVERALEJO RURAL,205308
barrio_205316,l10n_co_base.city_11001,localidad_7,VILLA EMMA,205316
barrio_205318,l10n_co_base.city_11001,localidad_7,SAN BERNARDINO XVIII,205318
barrio_205319,l10n_co_base.city_11001,localidad_7,SAN BERNARDINO XIX,205319
barrio_205320,l10n_co_base.city_11001,localidad_7,EL REMANSO,205320
barrio_205401,l10n_co_base.city_11001,localidad_9,EL CHANCO II,205401
barrio_205402,l10n_co_base.city_11001,localidad_9,EL CHARCO,205402
barrio_207801,l10n_co_base.city_11001,localidad_10,SANTA CECILIA,207801
barrio_207801,l10n_co_base.city_11001,localidad_11,SANTA CECILIA,207801
