,id,domain,description,chart_template_id:id,type_tax_use,name,sequence,amount,parent_id:id,child_depend,price_include,type,account_collected_id:id,account_paid_id:id,base_code_id:id,tax_code_id:id,ref_base_code_id:id,ref_tax_code_id:id,ref_base_sign,ref_tax_sign,base_sign,tax_sign
063,tax_iiva_05bc_EXT_D,iva,IVA05B<EX,l10n_co_chart_template_generic,Purchase,IVA 5% DIRECTO BIEN EXTERIOR - IN,,0.05,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_B0500_C_EXT_directo_B,atctn_iva_B0500_C_EXT_directo_V,atctn_iva_B0500_C_EXT_directo_DB,atctn_iva_B0500_C_EXT_directo_DV,-1,-1,1,1
064,tax_iiva_05bc_ZFR_D,iva,IVA05B<ZF,l10n_co_chart_template_generic,Purchase,IVA 5% DIRECTO BIEN ZONA FRANCA - IN,,0.05,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_B0500_C_ZFR_directo_B,atctn_iva_B0500_C_ZFR_directo_V,atctn_iva_B0500_C_ZFR_directo_DB,atctn_iva_B0500_C_ZFR_directo_DV,-1,-1,1,1
065,tax_iiva_05bc_SCI_D,iva,IVA05B<SI,l10n_co_chart_template_generic,Purchase,IVA 5% DIRECTO BIEN SOCEDAD COMMERCIO INTERNACIONAL - IN,,0.05,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_B0500_C_SCI_directo_B,atctn_iva_B0500_C_SCI_directo_V,atctn_iva_B0500_C_SCI_directo_DB,atctn_iva_B0500_C_SCI_directo_DV,-1,-1,1,1
066,tax_iiva_05sc_D,iva,IVA05S<,l10n_co_chart_template_generic,Purchase,IVA 5% DIRECTO SERV - IN,,0.05,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_S0500_C_NAT_directo_B,atctn_iva_S0500_C_NAT_directo_V,atctn_iva_S0500_C_NAT_directo_DB,atctn_iva_S0500_C_NAT_directo_DV,-1,-1,1,1
067,tax_iiva_05sc_EXT_D,iva,IVA05S<EX,l10n_co_chart_template_generic,Purchase,IVA 5% DIRECTO SERV EXTERIOR - IN,,0.05,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_S0500_C_EXT_directo_B,atctn_iva_S0500_C_EXT_directo_V,atctn_iva_S0500_C_EXT_directo_DB,atctn_iva_S0500_C_EXT_directo_DV,-1,-1,1,1
068,tax_iiva_05sc_ZFR_D,iva,IVA05S<ZF,l10n_co_chart_template_generic,Purchase,IVA 5% DIRECTO SERV ZONA FRANCA - IN,,0.05,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_S0500_C_ZFR_directo_B,atctn_iva_S0500_C_ZFR_directo_V,atctn_iva_S0500_C_ZFR_directo_DB,atctn_iva_S0500_C_ZFR_directo_DV,-1,-1,1,1
069,tax_iiva_05sc_SCI_D,iva,IVA05S<SI,l10n_co_chart_template_generic,Purchase,IVA 5% DIRECTO SERV SOCEDAD COMMERCIO INTERNACIONAL - IN,,0.05,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_S0500_C_SCI_directo_B,atctn_iva_S0500_C_SCI_directo_V,atctn_iva_S0500_C_SCI_directo_DB,atctn_iva_S0500_C_SCI_directo_DV,-1,-1,1,1
070,tax_iiva_16bc_D,iva,IVA16b<,l10n_co_chart_template_generic,Purchase,IVA 16% DIRECTO BIEN - IN,,0.16,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_B1600_C_NAT_directo_B,atctn_iva_B1600_C_NAT_directo_V,atctn_iva_B1600_C_NAT_directo_DB,atctn_iva_B1600_C_NAT_directo_DV,-1,-1,1,1
071,tax_iiva_16bc_EXT_D,iva,IVA16b<EX,l10n_co_chart_template_generic,Purchase,IVA 16% DIRECTO BIEN EXTERIOR - IN,,0.16,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_B1600_C_EXT_directo_B,atctn_iva_B1600_C_EXT_directo_V,atctn_iva_B1600_C_EXT_directo_DB,atctn_iva_B1600_C_EXT_directo_DV,-1,-1,1,1
072,tax_iiva_16bc_ZFR_D,iva,IVA16b<ZF,l10n_co_chart_template_generic,Purchase,IVA 16% DIRECTO BIEN ZONA FRANCA - IN,,0.16,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_B1600_C_ZFR_directo_B,atctn_iva_B1600_C_ZFR_directo_V,atctn_iva_B1600_C_ZFR_directo_DB,atctn_iva_B1600_C_ZFR_directo_DV,-1,-1,1,1
073,tax_iiva_16bc_SCI_D,iva,IVA16b<SI,l10n_co_chart_template_generic,Purchase,IVA 16% DIRECTO BIEN SOCEDAD COMMERCIO INTERNACIONAL - IN,,0.16,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_B1600_C_SCI_directo_B,atctn_iva_B1600_C_SCI_directo_V,atctn_iva_B1600_C_SCI_directo_DB,atctn_iva_B1600_C_SCI_directo_DV,-1,-1,1,1
074,tax_iiva_16sc_D,iva,IVA16S<,l10n_co_chart_template_generic,Purchase,IVA 16% DIRECTO SERV - IN,,0.16,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_S1600_C_NAT_directo_B,atctn_iva_S1600_C_NAT_directo_V,atctn_iva_S1600_C_NAT_directo_DB,atctn_iva_S1600_C_NAT_directo_DV,-1,-1,1,1
075,tax_iiva_16sc_EXT_D,iva,IVA16S<EX,l10n_co_chart_template_generic,Purchase,IVA 16% DIRECTO SERV EXTERIOR - IN,,0.16,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_S1600_C_EXT_directo_B,atctn_iva_S1600_C_EXT_directo_V,atctn_iva_S1600_C_EXT_directo_DB,atctn_iva_S1600_C_EXT_directo_DV,-1,-1,1,1
076,tax_iiva_16sc_ZFR_D,iva,IVA16S<ZF,l10n_co_chart_template_generic,Purchase,IVA 16% DIRECTO SERV ZONA FRANCA - IN,,0.16,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_S1600_C_ZFR_directo_B,atctn_iva_S1600_C_ZFR_directo_V,atctn_iva_S1600_C_ZFR_directo_DB,atctn_iva_S1600_C_ZFR_directo_DV,-1,-1,1,1
